workerid,proliferate.condition,bike,mirror,error
649,intentional,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
661,intentional,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
668,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
656,intentional,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
666,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
647,intentional,"['simple', 'cause', 'fault', 'punish']","['cause', 'simple', 'fault', 'punish']",
653,intentional,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
660,intentional,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
652,intentional,"['simple', 'cause', 'fault', 'punish']","['cause', 'simple', 'punish', 'fault']",
659,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
657,intentional,"['simple', 'cause', 'fault', 'punish']","['simple', 'cause', 'punish', 'fault']",
667,intentional,"['cause', 'simple', 'fault', 'punish']","['cause', 'simple', 'fault', 'punish']",
665,intentional,"['simple', 'cause', 'punish', 'fault']","['simple', 'cause', 'fault', 'punish']",
651,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
664,intentional,"['simple', 'cause', 'punish', 'fault']","['cause', 'simple', 'punish', 'fault']",
655,intentional,"['cause', 'simple', 'fault', 'punish']","['cause', 'simple', 'punish', 'fault']",
658,intentional,"['cause', 'simple', 'punish', 'fault']","['cause', 'simple', 'fault', 'punish']",
663,intentional,"['simple', 'cause', 'fault', 'punish']","['cause', 'simple', 'fault', 'punish']",
650,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
648,intentional,"['cause', 'simple', 'fault', 'punish']","['simple', 'cause', 'fault', 'punish']",
